id,institution_name,institution_description
674a93dece314dcdb0792744da71dad2,Instituto Nacional da Mata Atlântica,
f00892ccee86490ebd1c35d4b476d4ae,Instituto Moreira Salles,
b67a3db2b0a54920935a628168b3e4ff,Instituto Hercule Florence,
3148d5f115f24057b0c849cee10f8865,Instituto de Estudos Brasileiros,
c655ede86d744b24afd435e32b1cc542,Fundação Mestre Bimba,
2532af3f6318400d85737258f2daf7dd,Fundação Casa de Rui Barbosa,
098e9db82af9495c9951eb5f00a11c0a,Fábrica de Pios,
ef58feaed4e143ca94449e0d9e31a12d,Departamento do Patrimônio Histórico da Prefeitura de São Paulo,
f2026af8571042378824d51abc5a9dc1,Centro de Memória Unicamp,
763dcd9605ec418fa1e28c7d06ddc663,Centro de Memória do Curso de Enfermagem da UFES,
cc43a4dd9688410a9b220b6248880f26,Centro de Memória da Santa Casa da Misericórdia da Bahia,
4ab70d5b95734e85a9317c06ce8b5be3,Centro de Documentação Histórica e Memória Regional,
fd8a9a1732b847ba9e1b68137ed6cddf,Casa Museu Eva Klabin,
2126732cf30d4f14a2a7aa854aaa8510,Casa de Oswaldo Cruz,
3c6637946a524d548803f6d8e0004c7f,Arquivo Público do Estado do Espírito Santo,
036f3961368f4dce89b2e94722e0ac5c,Arquivo Histórico Municipal (Guarulhos),
efce29045ad9453d94be405b2342b58c,Wien Museum,
e175adaba2e748468d2e852e3b2b5bcb,National Museum of Australia,
b2bd62d5361c43bdb9e50e2e16bfa384,Museums Victoria,
ec74e6cc9798482780755744b7c92486,Archivo de la Imagen Documental Santafesina,
aad75623b7d741e8b3a691b29f5af658,Alice Springs Public Library,
cc20220b0cfd4b5ca1b9a21d924f688b,Academia Nacional de la Historia de la República Argentina,
894b6657ea934406b283372e3166f1df,Museo Nacional de Historia Natural de Uruguay,
b02daa56bfd547f3bf6a2453e558f3b4,Museo Histórico Nacional de Uruguay,
68c9d3c143104e0cb61a92911b3e5a74,Museo Zorrilla,
e1370bfacec04c23a155e2d52bf60087,Museo Nacional de Artes Visuales,
22825dc13616457e872a436009fa0e09,Intendencia de Maldonado,
da6d8d7fe4064526b35930c7f60c92f8,Sala de Medios - Intendencia de Montevideo,
3e71d6b747b14bd58d9c442bceb32761,Museo de la Uva y el Vino,
b58b8b817853405e880b360380848d85,Colección Amadeo León,
0f9a0acf660f4d8f84175d5d2f95e26f,Centro de Fotografía de Montevideo,
8f56daec11054769b015c03289ad3e11,Biblioteca Comunitaria Paco Espínola,
913b4b8835fa4422a63e6cdcd7c3e633,Yale University Art Gallery,
bb1d4125ebea42d4b4158c81ff41b59c,Intendencia de Canelones,
322afadaafa34986932c0286dbfaf75a,Biblioteca Francisco Schinca,
ec45a05dda0646fdbd99795495008176,Fundación Felisberto Hernández,
9d608609b920485991385d4d3e4f963c,Yale University Library,
9678f034e2414283b25d0c99c6c0674c,Biblioteca del Poder Legislativo,
b0862ba0b960443e9d1df0d4a1bb48df,Biblioteca de ACSUN,
5500920d35e6487eb69a78bc6efa88a3,Wilson County Public Library,
