"entry_id","institution","open_data_platform","open_data_volume"
"3a5iii72xhTArmIvmJIva0","Huron County Museum & Historic Gaol","Flickr Commons","1,257"
"1MopODZqruaQqDzp28xVxR","Congregation of Sisters of St. Joseph in Canada","Flickr Commons","190"
"3CkQZ6BgjYZVY0VlsXebQa","Deseronto Archives","Flickr Commons","2,182"
"6fP52CeQdkfUFEmM1qjPau","Musée d'art contemporain de Montréal","Own website","375"
"6Na0yeAmIPQNt9AQuA0Etn","Library and Archives Canada","Wikimedia Commons","4,694"
"6uYcL0oWvHmm182GuV1jQK","Halifax Municipal Archives","Flickr Commons","1,437"
"bRLgY7f2k8unhFsXmWIRq","Galt Museum & Archives ","Flickr Commons","419"
"6CnHxzyld3ieLMkRFbw53S","Biblioteca Nacional de Chile","Wikimedia Commons","3,830"
"256wNKBJEEGzhwoaAddLlQ","Hrvatska akademija znanosti i umjetnosti","Own website","0"
"2UH097XcqeHjdPaxR0Fa3b","University of Victoria Libraries","Flickr Commons","1,293"
"5lTO9Eb3ELRKxnfShPygjL","Museo Nacional de Historia Natural de Chile","Sketchfab","378"
"5PbqQNWIQYWnXIx9vLou1b","Gradska knjižnica Rijeka","Europeana","40"
"2xcnv77u2LTxGGSOsjFdzh","Hrvatska akademija znanosti i umjetnosti","Europeana","7,467"
"1cD2yjHWo756uHsQ6EMyb3","Muzej za umjetnost i obrt","Europeana","2,598"
"5pnEfQudtQ2eQURrVHpVJo","Državnog arhiva u Zagrebu","Europeana","122,230"
"2vFHLXbDLFbc8c30zCli0r","Provincial Archives of Alberta","Flickr Commons","2,513"
"pPFCFSnB1EbckgLtKclrB","Državnog arhiva u Zagrebu","Own website","0"
"2LcuduJ0HHY8jTaCYeCIy6","Memoria Chilena","Own website","35,341"
"1BGseMRkOkwOPXpy1kjrkB","UBC Library Digitization Centre","Flickr Commons","2,498"
"60cJIftawdjg49elpjDdNJ","JIhočeská vědecká knihovna v Českých Budějovicích","Europeana","63,660"
"31QyDeSjPwL38ZhldibnA0","Nacionalna i sveučilišna knjižnica u Zagrebu","Own website","2,820"
"1ee0Y6iuTY7y7NITpd7me2","Knihovna Antonína Švehly","Europeana","10,828"
"6Wlc9CoNIcqkMFpBq76qoA","Moravská galerie v Brně","Europeana","33"
"4DuUWUuZM6r15U7jLn7eOI","Πανεπιστήμιο Νεάπολις Πάφος","Europeana","3,076"
"2Li6suBAoyDypwCbiuAIyE","Městská knihovna v Praze","Europeana","10,143"
"7sTUQqd16pg91lbT5ol9Ae","Κυπριακή Βιβλιοθήκη, Kypriakī́ Vivliothī́kī","Europeana","619"
"1oIyoDF3rWhcTn10nFbTM8","Knihovna Akademie věd České republiky","Europeana","6,128"
"2mWoMZ2mhhjnx7KRgsUmbq","Moravská zemská knihovna v Brně","Europeana","54,551"
"2Lu1d024FAx5g2WlrvBNTz","České muzeum hudby","Aggregator","134"
"4u2NrbA7JftQje8vTDPwVh","Severočeská vědecká knihovna","Europeana","353"
