id,open_data_platform,open_data_volume,institution_id,institution_name
5laGkhGyEF80V0qNsvlm56,Own website,"17,000",fcea7c1794a6437f8548707933ccca46,L’Héritage des ponts et chaussées
1Je5qLRYNOXFccmpuBRC1R,Europeana,"1,962",920c6d8b6ec64d609de141b78ecdafc8,Lo CIRDÒC (Occitanica)
3Wp6kSCksAz6mOyWpnvbfO,Own website,"41,134",07fcb52d5c0846d2a9e3f5e01df58a1e,Limédia - Bibliothèque numérique du Sillon lorrain
3YY2tuOpalejClPc2FUlQF,Own website,"190,689",07fcb52d5c0846d2a9e3f5e01df58a1e,Limédia - Bibliothèque numérique du Sillon lorrain
bSdxyEhzft6tqbFrXXsTr,Own website,"200,000",f88c6696652c4ddbab7b9f3908c60e40,La contemporaine
2d3qz1qeOnZaaxOXxPAtbc,Wikimedia Commons,91,abacf722d74f4619ae2cc4487f3dc21b,Maison méditerranéenne des sciences de l'homme
1aT0bgOOsLYWwt71PJ1ZOL,Own website,"18,672",04d785f49647434189c85e416eb02a4c,Centre des monuments nationaux
2p7o9IiDlG8rYG3sJwddTs,Own website,"1,594",b59bc1193d8540ecb67469a86f2918a8,Fondation pour une Histoire Juive Universelle
1XSoRCEvuUt2CUXo0zae6e,Own website,"12,033",df2131aa12f94468a577ef8452399c5a,"Institut national de recherche pour l'agriculture, l'alimentation et l'environnement"
3WuIwy0HTiZ3RcQ2HXSA23,Internet Archive,"26,320",df2131aa12f94468a577ef8452399c5a,"Institut national de recherche pour l'agriculture, l'alimentation et l'environnement"
7qfW3Iimo0YpQO4Eq4eWVY,Wikimedia Commons,150,57e253f4fe2a444a8da5c370381de89c,École nationale vétérinaire de Toulouse
45LuIHENOD2p99jePBnL3q,Internet Archive,505,7870ac2728f54219a0a45b7bdf287086,Bibliothèques de l'Ecole normale Supérieure-Paris
7FS7pZcJJqzSNA9gnlDS80,Own website,"21,788,232",1371f40358e04cb499f4268ae499fb48,CNES
5VeAV6dkvvv6IBzTfJm1Hm,Own website,0,803cde19a484448193891a3306879dde,Bibliothèque virtuelle de l'université de Poitiers
4hbz5JuytVCLPDJ6eit3P5,Wikimedia Commons,"2,509",7637927fd88947baaa5d70b278de1fb7,Bibliothèques de Nancy
4AkOuTGAYkxHJLzRj4cMuj,Europeana,266,af869f8ef35946b0b628b9cd58560ef2,Centre National de la Danse
7GGGB9aWYhwYYN75vuUplg,Own website,"2,088",9147df1233284189bf3a258ef9b7087a,Bibliothèque numérique du Cirad en agronomie tropicale
1LgtY1whhLj52CtwAQujAq,Own website,"240,000",79d6163fa3a8478f867b7a1051c2d60d,Bibliothèque numérique du Limousin
5jmp6LUCM6zQlrQpa39ZNU,Own website,"13,377",7dd15d0a9f1c4b029685847041800787,Bibliothèque municipale de Toulouse
49xKg1IDXpqQbdXMVhPvVW,Flickr Commons,"4,485",7dd15d0a9f1c4b029685847041800787,Bibliothèque municipale de Toulouse
5fKRBoFwFhrpx4pjtHW3Mw,Own website,"6,200",426d19e853854171a4dc6fd9c65d45db,Bibliothèque numérique de la ville de Périgueux
1DXR3urHt4diofAN0dDdmi,Own website,"22,634",ae81f047784c4627a3c1e43a4280dced,Bibliothèque patrimoniale Méjanes - Michel Vovelle
s2PCoboOhuSvsqsKtYRmW,Own website,236,622b80538d4d41109f3e3ccf6f10dd40,Bibliothèque universitaire de Grenoble Alpes
7kkUGF1fEGggZBKOVxtvO6,Own website,"6,447",d360d1a0f0764ca3a6e6ecba1504377e,Bibliothèque universitaire des langues et civilisations
27al0M0zF1bHFMQzbZe7hA,Own website,0,577515dc3b92468498e6df88df6e9f84,Bibliothèque municipale de Nantes
1wCcVLy85XkJO2Hbpss7Tg,Europeana,"21,317",9937a073a93e410daaf86ff6fb384d8f,Bibliothèque nationale et universitaire de Strasbourg
4DxHx8Fbno3vE641A5sYEk,Own website,682,c873d740bd5245d0960cc65a6ddcccf6,Bibliothèque patrimoniale numérique de Mines ParisTech
37ERO4PfzZBNBuzYjgD4l6,Own website,"3,525",4480dc749adf4ca681536c71c56754c7,Bibliothèque de Sorbonne Université
5YW49RhclYlIXYrgyCMX0y,Own website,"7,623",92a77c41c9d04b9da4a34547944e91fa,Bibliothèque municipale de Grenoble
2MBhD5Vr0bZkkTHUqv9irN,Own website,"11,000",985dc625fe0e431d994a531131bcf7ec,Bibliothèque interuniversitaire de la Sorbonne
01leIRN0rieT8szxgdONko,Own website,0,45b858fd977b4b6296a721a0101ce6d3,Bibliothèque et Centre de recherche en informatique de MINES ParisTech
2obfmUmtPkalHXWerHeh98,Own website,0,06dfca11c88f44e99dee7bbd9eeb51f8,Bibliothèque interuniversitaire de Montpellier
27kFUuVm1PXivmSEgqpI3H,Europeana,744,c37881974a904381954a2a46c9d6fc42,Bibliothèque Medem - Maison de la Culture Yiddish
6J4gwk0vop0ThOlicNnD5Q,Internet Archive,"20,028",4f789869e4cf4250915bcd3684fea819,Bibliothèque interuniversitaire de Santé
35VyjjhLjm4ixBmL7zWse0,Own website,"28,429",5cfd56b51adc436f95ffdd5940b8a69e,Bibliothèque de l'Institut national d'histoire de l'art
jvTswXeuEKsEy7jew9HBE,Aggregator,3,1530af643ac64606821c765ca2e463d9,Villa Gyllenberg
5RpX5kuTNG2Lf57l1f0W6y,Wikimedia Commons,"9,647",f8c35ee2ad394bdca23be8fc1be2ab44,Archives départementales des Hauts-de-Seine
6MgAx7QaK0veIy1j7dFKzi,Europeana,486,b5e1a2389a334057bb6bd41cfd62a6ed,Babord-Num
1PYvCNGZ6YLKzutyYNWk7i,Own website,0,b5e1a2389a334057bb6bd41cfd62a6ed,Babord-Num
RAf1MsQBqhGKiJQpaf3MB,Aggregator,33,14efac2a7869424c9607363b5e9851c4,Väylävirasto
2pTzLvDDQ6oAF5x9T9xM7E,Own website,0,5cfdd732570c43c9a42bbf6534224f91,Archives départementales de la Charente
2KGw2u1Zc0hprCka4LdrsY,Flickr Commons,239,3a29579228684b87b095940fe2cbeee4,Yleisradio Oy
6dYA6YvanbiJDlDZpiJGUw,Aggregator,"112,044",0c6041fce8294d238b243b205075dc3b,Turun museokeskus
6gbGijBty8yLxe5jxVNUEX,Aggregator,"11,053",24615cc7d00749819c0d5350461cc964,Uudenkaupungin museo
400w8QEKpgERpfinUIRk7N,Aggregator,"5,736",b6788ccdf3294dae854e2c6cc7763010,Svenska litteratursällskapet i Finland
3ywI2g1WSdLeLzhajayPK6,Flickr Commons,997,b6788ccdf3294dae854e2c6cc7763010,Svenska litteratursällskapet i Finland
6LSkoHl9FAcp23ZoylKnlI,Aggregator,"2,355",c54f7b800fdc4deab914205c277789e3,Taideyliopisto
7trHog4KHTq2uPPmWo029z,Aggregator,"9,942",2d1b036604764c1685abe459c858770e,Vantaan kaupunginmuseo
HdSy2gV7pWcGbIgdvXTF7,Aggregator,634,57aa334bf5914b3cbd5c76a15cb011c6,Valkeakosken museot
